"date","gender","age","incentive","amount","amount_possible"
2015-01-01,Female,50,Food,2,4
2015-01-01,Female,41,Activity,2,5
2015-01-01,Female,41,Food,1,4
2015-01-01,Male,57,Activity,2,5
2015-01-01,Male,40,Food,2,4
2015-01-01,Female,34,Activity,3,5
2015-01-01,Female,34,Sleep,1,3
2015-01-01,Female,34,Food,1,4
2015-01-01,Female,26,Activity,5,5
2015-01-01,Female,26,Sleep,1,3
2015-01-01,Female,26,Food,3,4
2015-01-01,Male,37,Activity,2,5
2015-01-01,Male,37,Sleep,2,3
2015-01-01,Female,22,Food,2,4
2015-01-01,Male,51,Sleep,1,3
2015-01-01,Male,25,Activity,3,5
2015-01-01,Male,25,Sleep,2,3
2015-01-01,Male,38,Activity,2,5
2015-01-01,Male,38,Food,2,4
2015-01-01,Male,46,Activity,2,5
2015-01-01,Male,18,Food,2,4
2015-01-01,Female,47,Food,2,4
2015-01-01,Female,24,Sleep,1,3
2015-01-01,Female,24,Food,2,4
2015-01-01,Male,56,Sleep,2,3
2015-01-01,Male,56,Food,1,4
2015-01-01,Male,27,Sleep,1,3
2015-01-01,Male,56,Sleep,2,3
2015-01-01,Male,25,Activity,2,5
2015-01-01,Male,25,Sleep,2,3
2015-01-01,Male,57,Sleep,1,3
2015-01-01,Female,58,Activity,1,5
2015-01-01,Female,20,Sleep,1,3
2015-01-01,Male,57,Activity,1,5
2015-01-01,Male,57,Sleep,1,3
2015-01-01,Male,24,Activity,4,5
2015-01-01,Male,24,Sleep,1,3
2015-01-01,Male,57,Activity,3,5
2015-01-01,Female,20,Activity,1,5
2015-01-01,Male,23,Activity,3,5
2015-01-01,Male,23,Sleep,1,3
2015-01-01,Female,40,Activity,3,5
2015-01-01,Female,40,Sleep,2,3
2015-01-01,Male,28,Sleep,2,3
2015-01-01,Male,28,Food,1,4
2015-01-01,Female,32,Activity,2,5
2015-01-01,Female,32,Sleep,1,3
2015-01-01,Female,32,Food,2,4
2015-01-01,Female,39,Food,2,4
2015-01-01,Male,52,Activity,2,5
2015-01-01,Male,52,Food,2,4
2015-01-01,Male,49,Activity,4,5
2015-01-01,Female,50,Sleep,1,3
2015-01-01,Male,54,Activity,3,5
2015-01-01,Male,54,Sleep,2,3
2015-01-01,Female,52,Sleep,1,3
2015-01-01,Male,49,Activity,5,5
2015-01-01,Male,51,Activity,3,5
2015-01-01,Female,32,Food,2,4
2015-01-01,Male,22,Activity,3,5
2015-01-01,Male,22,Sleep,1,3
2015-01-01,Male,22,Food,1,4
2015-01-01,Female,29,Activity,2,5
2015-01-01,Male,32,Food,2,4
2015-01-01,Male,33,Sleep,1,3
2015-01-01,Female,32,Activity,1,5
2015-01-01,Female,32,Sleep,1,3
2015-01-01,Female,35,Activity,3,5
2015-01-01,Female,35,Sleep,1,3
2015-01-01,Male,27,Food,2,4
2015-01-01,Male,54,Activity,3,5
2015-01-01,Male,28,Sleep,1,3
2015-01-01,Female,36,Activity,4,5
2015-01-01,Female,36,Sleep,2,3
2015-01-01,Male,20,Activity,4,5
2015-01-01,Male,52,Sleep,2,3
2015-01-01,Male,27,Activity,3,5
2015-01-01,Male,27,Sleep,1,3
2015-01-01,Male,28,Sleep,1,3
2015-01-01,Male,28,Food,2,4
2015-01-01,Female,22,Sleep,1,3
2015-01-01,Male,35,Sleep,2,3
2015-01-01,Female,25,Activity,4,5
2015-01-01,Female,25,Sleep,1,3
2015-01-01,Female,25,Food,1,4
2015-01-01,Male,37,Activity,4,5
2015-01-01,Male,45,Activity,2,5
2015-01-01,Male,26,Activity,1,5
2015-01-01,Male,33,Activity,3,5
2015-01-01,Male,33,Sleep,1,3
