"date","uid","gender","age","incentive","amount"
2014-01-01,9fa5644875fcaf275806b1b3,F,52,Be Active,25
2014-02-01,9fa5644875fcaf275806b1b3,F,52,Be Active,50
2014-03-01,9fa5644875fcaf275806b1b3,F,52,Be Active,25
2014-04-01,9fa5644875fcaf275806b1b3,F,52,Be Active,50
2014-05-01,9fa5644875fcaf275806b1b3,F,52,Be Active,50
2014-06-01,9fa5644875fcaf275806b1b3,F,52,Be Active,50
2014-07-01,9fa5644875fcaf275806b1b3,F,52,Be Active,50
2014-08-01,9fa5644875fcaf275806b1b3,F,52,Be Active,50
2014-09-01,9fa5644875fcaf275806b1b3,F,52,Be Active,50
2014-10-01,9fa5644875fcaf275806b1b3,F,52,Be Active,50
2014-01-01,d5296526b64e8557f5a31e86,F,55,Be Active,50
2014-02-01,d5296526b64e8557f5a31e86,F,55,Be Active,50
2014-03-01,d5296526b64e8557f5a31e86,F,55,Be Active,75
2014-04-01,d5296526b64e8557f5a31e86,F,55,Be Active,50
2014-05-01,d5296526b64e8557f5a31e86,F,55,Be Active,25
2014-02-01,fbd718dde0a13d159921376c,M,33,Be Active,25
2014-05-01,fbd718dde0a13d159921376c,M,33,Be Active,25
2014-06-01,fbd718dde0a13d159921376c,M,33,Be Active,25
2014-02-01,6cd40cf08f0aa26f4c86f8f9,NULL,30,Be Active,25
2014-02-01,a7c8f45df0a38409fdd6d0ac,NULL,34,Be Active,50
2014-04-01,a7c8f45df0a38409fdd6d0ac,NULL,34,Be Active,25
2014-09-01,a7c8f45df0a38409fdd6d0ac,NULL,34,Be Active,25
2014-02-01,47e98cb0379d6e814d27bd5b,F,39,Be Active,25
2014-06-01,47e98cb0379d6e814d27bd5b,F,39,Be Active,25
2014-07-01,47e98cb0379d6e814d27bd5b,F,39,Be Active,25
2014-08-01,47e98cb0379d6e814d27bd5b,F,39,Be Active,25
2014-10-01,47e98cb0379d6e814d27bd5b,F,39,Be Active,25
2014-11-01,47e98cb0379d6e814d27bd5b,F,39,Be Active,25
2014-12-01,47e98cb0379d6e814d27bd5b,F,39,Be Active,25
2014-06-01,ea97582a0cd5812de128f6f7,NULL,49,Be Active,50
2014-07-01,ea97582a0cd5812de128f6f7,NULL,49,Be Active,50
2014-10-01,ea97582a0cd5812de128f6f7,NULL,49,Be Active,50
2014-11-01,ea97582a0cd5812de128f6f7,NULL,49,Be Active,50
2014-02-01,f962f7bd1d5d797f4d86d2e4,NULL,34,Be Active,25
2014-05-01,f962f7bd1d5d797f4d86d2e4,NULL,34,Be Active,25
2014-01-01,93c2bb6342ad15445ffbfa6a,F,28,Be Active,25
2014-02-01,0673cb3e0d26673c8d4a2626,M,33,Be Active,25
2014-03-01,0673cb3e0d26673c8d4a2626,M,33,Be Active,25
2014-05-01,0673cb3e0d26673c8d4a2626,M,33,Be Active,50
2014-06-01,0673cb3e0d26673c8d4a2626,M,33,Be Active,25
